timestamp,user_id,task,event,input
2021-05-26 22:56:37.328402,1,3,mouseClick,3
2021-05-26 22:56:37.786341,1,3,mouseClick,*
2021-05-26 22:56:38.409889,1,3,mouseClick,3
2021-05-26 22:56:40.240680,1,3,mouseClick,+
2021-05-26 22:56:41.255618,1,3,mouseClick,4
2021-05-26 22:56:41.910102,1,3,mouseClick,*
2021-05-26 22:56:42.472985,1,3,mouseClick,4
2021-05-26 22:56:44.029587,1,3,mouseClick,=
2021-05-26 22:56:44.934951,1,3,mouseClick,/
2021-05-26 22:56:45.668067,1,3,mouseClick,1
2021-05-26 22:56:46.920763,1,3,mouseClick,5
2021-05-26 22:56:47.358893,1,3,mouseClick,.
2021-05-26 22:56:47.745396,1,3,mouseClick,2
2021-05-26 22:56:49.711161,1,3,mouseClick,=
